Feature,Skewness,Kurtosis
Year,-0.44171254255748077,-0.6844118704948019
Quarter,-0.25011583248025965,-1.34968229038246
QuarterAmount,16.737279550651827,375.19574174139063
QuarterFrequency,9.910438194370583,175.34189533493844
QuarterAvgValue,55.451005618186784,5113.371590158577
PurchaseTrend3Q,-0.010391953729045488,-1.5113594713019072
Recency,1.6672008900615947,1.9113891957835687
Frequency,8.668382526326685,116.44593937874556
Monetary,16.18578176684275,333.890961413125
CustomerLifeSpan,-0.5667943751360277,-1.0194112203265273
TotalQuarters,0.15780271634295234,-1.2128754887257904
AvgOrderValue,11.210257094323193,241.58294789962412
MonetaryPerQuarter,14.58757224558946,274.0741537198572
